1000	 1.00000e-01	 1.00000e+00	  2.732715146576037e+00	  2.968818569170319e+00	  5.056054836678393e+01	  1.112354470359382e+01	  1.891129181206830e+02	  4.176526012669446e+03	  2.374218479182757e+03	  2.551576182060728e+03	  2.763948018806812e+01	  1.295929825667783e+01	  1.020930237789500e+03	  4.154192329997086e+01	  2.285231147527977e+02
1100	 1.00000e-01	 1.10000e+00	  2.674876400794056e+00	  2.885584537818543e+00	  4.952382432657927e+01	  1.088259889000035e+01	  1.648036595632572e+02	  4.280063001040409e+03	  2.338084065025434e+03	  2.660181942157421e+03	  2.707440104305600e+01	  1.175200925783165e+01	  9.463133633301941e+02	  4.110859951387931e+01	  2.261564164328470e+02
1200	 1.00000e-01	 1.20000e+00	  2.629064476180392e+00	  2.818364540496245e+00	  4.889880883799835e+01	  1.069090230993818e+01	  1.506104692244404e+02	  4.373394454333189e+03	  2.305977859038959e+03	  2.760326971585546e+03	  2.662392311262595e+01	  1.086075789044732e+01	  8.875836134646268e+02	  4.073305161409911e+01	  2.241277133026908e+02
1300	 1.00000e-01	 1.30000e+00	  2.592752051418191e+00	  2.762987094499389e+00	  4.867215491200665e+01	  1.053818003144319e+01	  1.431649348985388e+02	  4.457669955213000e+03	  2.277130697269989e+03	  2.853804909053733e+03	  2.626449948907547e+01	  1.021207566758303e+01	  8.421817549638886e+02	  4.041035795448765e+01	  2.223803185430097e+02
1400	 1.00000e-01	 1.40000e+00	  2.564056749448886e+00	  2.717216252379921e+00	  4.874005261404967e+01	  1.041654224018621e+01	  1.399695650648607e+02	  4.533994481249352e+03	  2.250948726547036e+03	  2.941913150768261e+03	  2.597791266388777e+01	  9.743838791418783e+00	  8.077434571436020e+02	  4.014000841192215e+01	  2.209041998808624e+02
1500	 1.00000e-01	 1.50000e+00	  2.541524732363590e+00	  2.679603151544054e+00	  4.899121225406822e+01	  1.031985015131010e+01	  1.393833517864617e+02	  4.603461060894827e+03	  2.226985972272494e+03	  3.025495159125330e+03	  2.574992201175748e+01	  9.408234046065296e+00	  7.820995843844787e+02	  3.992046150033077e+01	  2.196933087286221e+02
1600	 1.00000e-01	 1.60000e+00	  2.523988491801053e+00	  2.648937438928233e+00	  4.934181578774844e+01	  1.024325847062434e+01	  1.403954278273959e+02	  4.667091095472506e+03	  2.204908388295162e+03	  3.105079010173019e+03	  2.556923136534025e+01	  9.170108404603679e+00	  7.633522151495438e+02	  3.974785031950813e+01	  2.187316980827017e+02
1700	 1.00000e-01	 1.70000e+00	  2.510478876656946e+00	  2.624092285338392e+00	  4.973831168338214e+01	  1.018283949988748e+01	  1.423979735512723e+02	  4.725782343635355e+03	  2.184462425489634e+03	  3.181004241870264e+03	  2.542664183787028e+01	  9.003883696978116e+00	  7.499189597317345e+02	  3.961649664050589e+01	  2.179930926636365e+02
1800	 1.00000e-01	 1.80000e+00	  2.500182065419101e+00	  2.604027937872745e+00	  5.014953836188535e+01	  1.013535305892433e+01	  1.450244629984534e+02	  4.780289245713164e+03	  2.165451584889144e+03	  3.253506943784081e+03	  2.531454041354367e+01	  8.890860303136543e+00	  7.405283959721894e+02	  3.951990405024501e+01	  2.174452421665831e+02
1900	 1.00000e-01	 1.90000e+00	  2.492419592236528e+00	  2.587824448794689e+00	  5.055849497177356e+01	  1.009812363541451e+01	  1.480493801736211e+02	  4.831227895626393e+03	  2.147720002218131e+03	  3.322768989381754e+03	  2.522662918000553e+01	  8.817261036121741e+00	  7.341847561365450e+02	  3.945161548953532e+01	  2.170546207424873e+02
